symbol,name,source,group
001309.SZ,德明利,screenshot_watchlist,半导体
002023.SZ,海特高新,screenshot_watchlist,航空
002108.SZ,沧州明珠,screenshot_watchlist,塑料
002335.SZ,科华数据,screenshot_watchlist,电气设备
002339.SZ,积成电子,screenshot_watchlist,电气设备
002371.SZ,北方华创,screenshot_watchlist,半导体
002460.SZ,赣锋锂业,screenshot_watchlist_a_share_counterpart,小金属
002463.SZ,沪电股份,screenshot_watchlist,元器件
002472.SZ,双环传动,screenshot_watchlist,汽车配件
002648.SZ,卫星化学,screenshot_watchlist,化工原料
002730.SZ,电光科技,screenshot_watchlist,专用机械
002779.SZ,中坚科技,screenshot_watchlist,农用机械
002837.SZ,英维克,screenshot_watchlist,专用机械
002866.SZ,传艺科技,screenshot_watchlist,IT设备
002922.SZ,伊戈尔,screenshot_watchlist,电气设备
300059.SZ,东方财富,screenshot_watchlist,证券
300124.SZ,汇川技术,screenshot_watchlist,电器仪表
300308.SZ,中际旭创,screenshot_watchlist,通信设备
300394.SZ,天孚通信,screenshot_watchlist,通信设备
300444.SZ,双杰电气,screenshot_watchlist,电气设备
300476.SZ,胜宏科技,screenshot_watchlist,元器件
300491.SZ,通合科技,screenshot_watchlist,电气设备
300502.SZ,新易盛,screenshot_watchlist,通信设备
300776.SZ,帝尔激光,screenshot_watchlist,专用机械
300806.SZ,斯迪克,screenshot_watchlist,塑料
300855.SZ,图南股份,screenshot_watchlist,小金属
301269.SZ,华大九天,screenshot_watchlist,半导体
301291.SZ,明阳电气,screenshot_watchlist,电气设备
301319.SZ,唯特偶,screenshot_watchlist,元器件
600050.SH,中国联通,screenshot_watchlist,电信运营
600103.SH,青山纸业,screenshot_watchlist,造纸
600152.SH,维科技术,screenshot_watchlist,电气设备
600211.SH,西藏药业,screenshot_watchlist,生物制药
600230.SH,沧州大化,screenshot_watchlist,化工原料
600362.SH,江西铜业,screenshot_watchlist,铜
600396.SH,华电辽能,screenshot_watchlist,火力发电
600406.SH,国电南瑞,screenshot_watchlist,电气设备
600760.SH,中航沈飞,screenshot_watchlist,航空
600893.SH,航发动力,screenshot_watchlist,航空
600941.SH,中国移动,screenshot_watchlist,电信运营
601179.SH,中国西电,screenshot_watchlist,电气设备
601728.SH,中国电信,screenshot_watchlist,电信运营
601899.SH,紫金矿业,screenshot_watchlist,铜
603601.SH,再升科技,screenshot_watchlist,玻璃
603667.SH,五洲新春,screenshot_watchlist,机械基件
603728.SH,鸣志电器,screenshot_watchlist,电气设备
603757.SH,大元泵业,screenshot_watchlist,机械基件
603799.SH,华友钴业,screenshot_watchlist,小金属
603986.SH,兆易创新,screenshot_watchlist,半导体
688012.SH,中微公司,screenshot_watchlist,半导体
688017.SH,绿的谐波,screenshot_watchlist,机械基件
688059.SH,华锐精密,screenshot_watchlist,机械基件
688161.SH,威高骨科,screenshot_watchlist,医疗保健
688308.SH,欧科亿,screenshot_watchlist,机械基件
688510.SH,航亚科技,screenshot_watchlist,航空
688676.SH,金盘科技,screenshot_watchlist,电气设备
688779.SH,五矿新能,screenshot_watchlist,电气设备
688820.SH,盛合晶微,screenshot_watchlist,半导体
688981.SH,中芯国际,screenshot_watchlist_a_share_counterpart,半导体
