symbol,name,sector_name,list_days,amount_proxy,turnover_rate,total_mv,source,group
000021.SZ,深科技,元器件,11790,5337896175.341562,10.0734,5299001.5043,,
000034.SZ,神州数码,软件服务,11694,1833944749.55846,6.2015,2957259.9364,,
000039.SZ,中集集团,运输设备,11725,1297432585.47545,1.9835,6541127.227,,
000060.SZ,中金岭南,铅锌,10704,2246826452.337174,6.8366,3286467.6189,,
000062.SZ,深圳华强,元器件,10697,2131888151.7765908,6.3479,3358414.8329,,
000063.SZ,中兴通讯,通信设备,10405,6407774112.465981,3.649,17560356.5702,,
000066.SZ,中国长城,IT设备,10550,10791770526.643673,16.3193,6612888.1304,,
000070.SZ,特发信息,通信设备,9500,2044300913.853688,12.3511,1655156.9608,,
000100.SZ,TCL科技,元器件,8141,3073945628.1599126,3.5354,8694760.5028,,
000333.SZ,美的集团,家用电器,4622,3908394045.510128,0.6221,62825816.5168,,
000338.SZ,潍柴动力,汽车配件,6955,6584184572.153581,2.1735,30293004.7028,,
000408.SZ,藏格矿业,农药化肥,10913,1760949870.536258,1.3397,13144359.7114,,
000425.SZ,徐工机械,工程机械,10852,1195834158.298684,1.0001,11957145.8684,,
000426.SZ,兴业银锡,铅锌,10852,5247545923.381606,6.6953,7837656.1519,,
000539.SZ,粤电力Ａ,火力发电,11858,2405361430.1206913,6.6397,3622695.9503,,
000547.SZ,航天发展,通信设备,11854,3002439075.067852,7.4242,4044124.7206,,
000559.SZ,万向钱潮,汽车配件,11813,3117348660.9321003,5.373,5801877.277,,
000568.SZ,泸州老窖,白酒,11694,1247043950.47323,0.931,13394671.8633,,
000591.SZ,太阳能,新型电力,11054,1501257156.58308,6.397,2346814.3764,,
000592.SZ,平潭发展,林业,11006,2662740702.490758,12.8222,2076664.4589,,
000601.SZ,韶能股份,水力发电,10850,2185155595.8922195,26.054,838702.5393,,
000620.SZ,盈新发展,全国地产,10790,1818941386.54169,9.5023,1914211.703,,
000628.SZ,高新发展,建筑工程,10770,2664631617.4319997,11.9155,2236273.44,,
000630.SZ,铜陵有色,铜,10768,3253286633.4519596,3.9005,8340691.2792,,
000636.SZ,风华高科,元器件,10759,1911629954.359521,6.1193,3123935.6697,,
000651.SZ,格力电器,家用电器,10770,2001290408.2008903,0.887,22562462.3247,,
000657.SZ,中钨高新,小金属,10753,5983383055.7558155,4.6509,12865000.4424,,
000688.SZ,国城矿业,铅锌,10707,1300967564.6511,2.718,4786488.4645,,
000700.SZ,模塑科技,汽车配件,10668,1563112247.97111,12.3117,1269615.283,,
